VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
0.7071,   0.0000,  -0.0000, 1559.3591,  -0.0000
0.7021,   0.0000,  -0.0000, 1546.2646,  -0.0000
0.6971,   0.0000,  -0.0000, 1533.1863,  -0.0000
0.6921,   0.0000,  -0.0000, 1520.1244,  -0.0000
0.6871,   0.0000,  -0.0000, 1507.0792,  -0.0000
0.6821,   0.0000,  -0.0000, 1494.0508,  -0.0000
0.6771,   0.0000,  -0.0000, 1481.0394,  -0.0000
0.6721,   0.0000,  -0.0000, 1468.0451,  -0.0000
0.6671,   0.0000,  -0.0000, 1455.0682,  -0.0000
0.6621,   0.0000,  -0.0000, 1442.1088,  -0.0000
0.6571,   0.0000,  -0.0000, 1429.1671,  -0.0000
0.6521,   0.0000,  -0.0000, 1416.2434,  -0.0000
0.6471,   0.0000,  -0.0000, 1403.3377,  -0.0000
0.6421,   0.0000,  -0.0000, 1390.4504,  -0.0000
0.6371,   0.0000,  -0.0000, 1377.5816,  -0.0000
0.6321,   0.0000,  -0.0000, 1364.7315,  -0.0000
0.6271,   0.0000,  -0.0000, 1351.9003,  -0.0000
0.6221,   0.0000,  -0.0000, 1339.0882,  -0.0000
0.6171,   0.0000,  -0.0000, 1326.2955,  -0.0000
0.6121,   0.0000,  -0.0000, 1313.5222,  -0.0000
0.6071,   0.0000,  -0.0000, 1300.7688,  -0.0000
0.6021,   0.0000,  -0.0000, 1288.0353,  -0.0000
0.5971,   0.0000,  -0.0000, 1275.3220,  -0.0000
0.5921,   0.0000,  -0.0000, 1262.6292,  -0.0000
0.5871,   0.0000,  -0.0000, 1249.9569,  -0.0000
0.5821,   0.0000,  -0.0000, 1237.3056,  -0.0000
0.5771,   0.0000,  -0.0000, 1224.6753,  -0.0000
0.5721,   0.0000,  -0.0000, 1212.0664,  -0.0000
0.5671,   0.0000,  -0.0000, 1199.4790,  -0.0000
0.5621,   0.0000,  -0.0000, 1186.9135,  -0.0000
0.5571,   0.0000,  -0.0000, 1174.3700,  -0.0000
0.5521,   0.0000,  -0.0000, 1161.8488,  -0.0000
0.5471,   0.0000,  -0.0000, 1149.3502,  -0.0000
0.5421,   0.0000,  -0.0000, 1136.8744,  -0.0000
0.5371,   0.0000,  -0.0000, 1124.4216,  -0.0000
0.5321,   0.0000,  -0.0000, 1111.9922,  -0.0000
0.5271,   0.0000,  -0.0000, 1099.5863,  -0.0000
0.5221,   0.0000,  -0.0000, 1087.2043,  -0.0000
0.5171,   0.0000,  -0.0000, 1074.8464,  -0.0000
0.5121,   0.0000,  -0.0000, 1062.5129,  -0.0000
0.5071,   0.0000,  -0.0000, 1050.2040,  -0.0000
0.5021,   0.0000,  -0.0000, 1037.9201,  -0.0000
0.4971,   0.0000,  -0.0000, 1025.6614,  -0.0000
0.4921,   0.0000,  -0.0000, 1013.4282,  -0.0000
0.4871,   0.0000,  -0.0000, 1001.2208,  -0.0000
0.4821,   0.0000,  -0.0000, 989.0395,  -0.0000
0.4771,   0.0000,  -0.0000, 976.8846,  -0.0000
0.4721,   0.0000,  -0.0000, 964.7564,  -0.0000
0.4671,   0.0000,  -0.0000, 952.6552,  -0.0000
0.4621,   0.0000,  -0.0000, 940.5813,  -0.0000
0.4571,   0.0000,  -0.0000, 928.5350,  -0.0000
0.4521,   0.0000,  -0.0000, 916.5166,  -0.0000
0.4471,   0.0000,  -0.0000, 904.5265,  -0.0000
0.4421,   0.0000,  -0.0000, 892.5650,  -0.0000
0.4371,   0.0000,  -0.0000, 880.6323,  -0.0000
0.4321,   0.0000,  -0.0000, 868.7289,  -0.0000
0.4271,   0.0000,  -0.0000, 856.8551,  -0.0000
0.4221,   0.0000,  -0.0000, 845.0112,  -0.0000
0.4171,   0.0000,  -0.0000, 833.1975,  -0.0000
