VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
0.7071,   0.0000,  -0.0000, 1559.3591,   9.8000
0.7021,   0.0000,  -0.0000, 1546.2646,   9.8000
0.6971,   0.0000,  -0.0000, 1533.1863,   9.8000
0.6921,   0.0000,  -0.0000, 1520.1244,   9.8000
0.6871,   0.0000,  -0.0000, 1507.0792,   9.8000
0.6821,   0.0000,  -0.0000, 1494.0508,   9.8000
0.6771,   0.0000,  -0.0000, 1481.0394,   9.8000
0.6721,   0.0000,  -0.0000, 1468.0451,   9.8000
0.6671,   0.0000,  -0.0000, 1455.0682,   9.8000
0.6621,   0.0000,  -0.0000, 1442.1088,   9.8000
0.6571,   0.0000,  -0.0000, 1429.1671,   9.8000
0.6521,   0.0000,  -0.0000, 1416.2434,   9.8000
0.6471,   0.0000,  -0.0000, 1403.3377,   9.8000
0.6421,   0.0000,  -0.0000, 1390.4504,   9.8000
0.6371,   0.0000,  -0.0000, 1377.5816,   9.8000
0.6321,   0.0000,  -0.0000, 1364.7315,   9.8000
0.6271,   0.0000,  -0.0000, 1351.9003,   9.8000
0.6221,   0.0000,  -0.0000, 1339.0882,   9.8000
0.6171,   0.0000,  -0.0000, 1326.2955,   9.8000
0.6121,   0.0000,  -0.0000, 1313.5222,   9.8000
0.6071,   0.0000,  -0.0000, 1300.7688,   9.8000
0.6021,   0.0000,  -0.0000, 1288.0353,   9.8000
0.5971,   0.0000,  -0.0000, 1275.3220,   9.8000
0.5921,   0.0000,  -0.0000, 1262.6292,   9.8000
0.5871,   0.0000,  -0.0000, 1249.9569,   9.8000
0.5821,   0.0000,  -0.0000, 1237.3056,   9.8000
0.5771,   0.0000,  -0.0000, 1224.6753,   9.8000
0.5721,   0.0000,  -0.0000, 1212.0664,   9.8000
0.5671,   0.0000,  -0.0000, 1199.4790,   9.8000
0.5621,   0.0000,  -0.0000, 1186.9135,   9.8000
0.5571,   0.0000,  -0.0000, 1174.3700,   9.8000
0.5521,   0.0000,  -0.0000, 1161.8488,   9.8000
0.5471,   0.0000,  -0.0000, 1149.3502,   9.8000
0.5421,   0.0000,  -0.0000, 1136.8744,   9.8000
0.5371,   0.0000,  -0.0000, 1124.4216,   9.8000
0.5321,   0.0000,  -0.0000, 1111.9922,   9.8000
0.5271,   0.0000,  -0.0000, 1099.5863,   9.8000
0.5221,   0.0000,  -0.0000, 1087.2043,   9.8000
0.5171,   0.0000,  -0.0000, 1074.8464,   9.8000
0.5121,   0.0000,  -0.0000, 1062.5129,   9.8000
0.5071,   0.0000,  -0.0000, 1050.2040,   9.8000
0.5021,   0.0000,  -0.0000, 1037.9201,   9.8000
0.4971,   0.0000,  -0.0000, 1025.6614,   9.8000
0.4921,   0.0000,  -0.0000, 1013.4282,   9.8000
