VerticalDisplacement, Energy
0.7071, 506.5835
0.7021, 498.8195
0.6971, 491.1208
0.6921, 483.4876
0.6871, 475.9196
0.6821, 468.4167
0.6771, 460.9790
0.6721, 453.6063
0.6671, 446.2985
0.6621, 439.0556
0.6571, 431.8774
0.6521, 424.7639
0.6471, 417.7150
0.6421, 410.7305
0.6371, 403.8104
0.6321, 396.9547
0.6271, 390.1631
0.6221, 383.4356
0.6171, 376.7722
0.6121, 370.1726
0.6071, 363.6369
0.6021, 357.1649
0.5971, 350.7565
0.5921, 344.4117
0.5871, 338.1302
0.5821, 331.9121
0.5771, 325.7571
0.5721, 319.6653
0.5671, 313.6364
0.5621, 307.6704
0.5571, 301.7672
0.5521, 295.9267
0.5471, 290.1487
0.5421, 284.4332
0.5371, 278.7799
0.5321, 273.1889
0.5271, 267.6600
0.5221, 262.1930
0.5171, 256.7879
0.5121, 251.4445
0.5071, 246.1627
0.5021, 240.9424
0.4971, 235.7835
0.4921, 230.6858
0.4871, 225.6492
0.4821, 220.6735
0.4771, 215.7587
0.4721, 210.9046
0.4671, 206.1111
0.4621, 201.3780
0.4571, 196.7052
0.4521, 192.0926
0.4471, 187.5400
0.4421, 183.0473
0.4371, 178.6143
0.4321, 174.2409
0.4271, 169.9270
0.4221, 165.6723
0.4171, 161.4768
0.4121, 157.3403
0.4071, 153.2626
0.4021, 149.2436
0.3971, 145.2832
0.3921, 141.3811
0.3871, 137.5372
0.3821, 133.7513
0.3771, 130.0233
0.3721, 126.3530
0.3671, 122.7403
0.3621, 119.1849
0.3571, 115.6868
0.3521, 112.2456
0.3471, 108.8613
0.3421, 105.5337
0.3371, 102.2625
0.3321,  99.0477
0.3271,  95.8890
0.3221,  92.7862
0.3171,  89.7391
0.3121,  86.7476
0.3071,  83.8114
0.3021,  80.9304
0.2971,  78.1044
0.2921,  75.3331
0.2871,  72.6164
0.2821,  69.9540
0.2771,  67.3458
0.2721,  64.7915
0.2671,  62.2909
0.2621,  59.8438
0.2571,  57.4500
0.2521,  55.1093
0.2471,  52.8214
0.2421,  50.5861
0.2371,  48.4032
0.2321,  46.2725
0.2271,  44.1937
0.2221,  42.1665
0.2171,  40.1908
0.2121,  38.2664
0.2071,  36.3928
0.2021,  34.5700
0.1971,  32.7977
0.1921,  31.0755
0.1871,  29.4033
0.1821,  27.7808
0.1771,  26.2077
0.1721,  24.6838
0.1671,  23.2087
0.1621,  21.7823
0.1571,  20.4042
0.1521,  19.0742
0.1471,  17.7920
